Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2020-10-23 18:41:02,2020-10-25,*7197,OK,-311.94,RUB,-311.94,RUB,,Супермаркеты,5411.0,Магнит,6,0,311.94
2020-10-23 18:14:32,2020-10-25,*7197,OK,-119.62,RUB,-119.62,RUB,,Супермаркеты,5499.0,Колхоз,2,0,119.62
2020-10-23 12:01:12,2020-10-25,*7197,OK,-130.76,RUB,-130.76,RUB,,Супермаркеты,5499.0,Колхоз,2,0,130.76
2020-10-21 18:17:08,2020-10-23,*7197,OK,-125.98,RUB,-125.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,125.98
2020-10-21 17:51:15,2020-10-23,*7197,OK,-235.33,RUB,-235.33,RUB,,Супермаркеты,5411.0,Supermarket 101,4,0,235.33
2020-10-21 15:43:01,2020-10-23,*7197,OK,-86.48,RUB,-86.48,RUB,,Супермаркеты,5499.0,Колхоз,1,0,86.48
2020-10-21 11:25:21,2020-10-23,*7197,OK,-48.49,RUB,-48.49,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.49
2020-10-20 18:23:21,2020-10-22,*7197,OK,-126.68,RUB,-126.68,RUB,,Супермаркеты,5411.0,Магнит,2,0,126.68
2020-10-19 15:59:58,2020-10-21,*7197,OK,-134.21,RUB,-134.21,RUB,,Супермаркеты,5499.0,Колхоз,2,0,134.21
2020-10-19 11:41:59,2020-10-20,*7197,OK,-118.0,RUB,-118.0,RUB,,Супермаркеты,5411.0,Green T6,2,0,118.0
2020-10-19 11:37:44,2020-10-21,*7197,OK,-48.49,RUB,-48.49,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.49
2020-10-18 16:11:44,2020-10-20,*7197,OK,-505.37,RUB,-505.37,RUB,,Супермаркеты,5411.0,Магнит,10,0,505.37
2020-10-17 21:59:54,2020-10-19,*7197,OK,-296.0,RUB,-296.0,RUB,,Супермаркеты,5411.0,Supermarket 101,5,0,296.0
2020-10-16 18:06:13,2020-10-18,*7197,OK,-240.78,RUB,-240.78,RUB,,Супермаркеты,5411.0,Магнит,4,0,240.78
2020-10-16 13:21:32,2020-10-18,*7197,OK,-138.0,RUB,-138.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,138.0
2020-10-15 18:26:14,2020-10-17,*7197,OK,-79.99,RUB,-79.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,79.99
2020-10-15 17:09:58,2020-10-17,*7197,OK,-116.62,RUB,-116.62,RUB,,Супермаркеты,5499.0,Колхоз,2,0,116.62
2020-10-15 16:40:39,2020-10-16,*7197,OK,-448.0,RUB,-448.0,RUB,,Супермаркеты,5499.0,Frukty Ovoshchi,8,0,448.0
